case_id,activity,timestamp
1,t1,2024-02-01 22:57:35
1,t2,2024-02-01 22:57:36
1,t3,2024-02-01 22:57:37
1,t4,2024-02-01 22:57:38
2,t5,2024-02-01 22:57:39
2,t1,2024-02-01 22:57:40
2,t6,2024-02-01 22:57:41
2,t7,2024-02-01 22:57:42
2,t8,2024-02-01 22:57:43
3,t9,2024-02-01 22:57:44
3,t4,2024-02-01 22:57:45
3,t10,2024-02-01 22:57:46
3,t11,2024-02-01 22:57:47
3,t12,2024-02-01 22:57:48
3,t5,2024-02-01 22:57:49
3,t1,2024-02-01 22:57:50
3,t6,2024-02-01 22:57:51
3,t7,2024-02-01 22:57:52
3,t3,2024-02-01 22:57:53
4,t13,2024-02-01 22:57:54
4,t4,2024-02-01 22:57:55
4,t14,2024-02-01 22:57:56
4,t11,2024-02-01 22:57:57
4,t15,2024-02-01 22:57:58
4,t5,2024-02-01 22:57:59
4,t1,2024-02-01 22:58:00
4,t6,2024-02-01 22:58:01
4,t7,2024-02-01 22:58:02
4,t3,2024-02-01 22:58:03
5,t9,2024-02-01 22:58:04
5,t10,2024-02-01 22:58:05
5,t4,2024-02-01 22:58:06
5,t11,2024-02-01 22:58:07
5,t12,2024-02-01 22:58:08
5,t5,2024-02-01 22:58:09
5,t1,2024-02-01 22:58:10
5,t6,2024-02-01 22:58:11
5,t7,2024-02-01 22:58:12
5,t8,2024-02-01 22:58:13
6,t9,2024-02-01 22:58:14
6,t4,2024-02-01 22:58:15
6,t10,2024-02-01 22:58:16
6,t11,2024-02-01 22:58:17
6,t12,2024-02-01 22:58:18
6,t5,2024-02-01 22:58:19
6,t1,2024-02-01 22:58:20
6,t6,2024-02-01 22:58:21
6,t7,2024-02-01 22:58:22
6,t8,2024-02-01 22:58:23
7,t13,2024-02-01 22:58:24
7,t14,2024-02-01 22:58:25
7,t4,2024-02-01 22:58:26
7,t11,2024-02-01 22:58:27
7,t15,2024-02-01 22:58:28
7,t5,2024-02-01 22:58:29
7,t1,2024-02-01 22:58:30
7,t6,2024-02-01 22:58:31
7,t7,2024-02-01 22:58:32
7,t8,2024-02-01 22:58:33
8,t13,2024-02-01 22:58:34
8,t14,2024-02-01 22:58:35
8,t4,2024-02-01 22:58:36
8,t11,2024-02-01 22:58:37
8,t15,2024-02-01 22:58:38
8,t5,2024-02-01 22:58:39
8,t1,2024-02-01 22:58:40
8,t6,2024-02-01 22:58:41
8,t7,2024-02-01 22:58:42
8,t3,2024-02-01 22:58:43
9,t13,2024-02-01 22:58:44
9,t14,2024-02-01 22:58:45
9,t4,2024-02-01 22:58:46
9,t11,2024-02-01 22:58:47
9,t15,2024-02-01 22:58:48
9,t5,2024-02-01 22:58:49
9,t1,2024-02-01 22:58:50
9,t6,2024-02-01 22:58:51
9,t7,2024-02-01 22:58:52
9,t8,2024-02-01 22:58:53
10,t9,2024-02-01 22:58:54
10,t4,2024-02-01 22:58:55
10,t10,2024-02-01 22:58:56
10,t11,2024-02-01 22:58:57
10,t12,2024-02-01 22:58:58
10,t5,2024-02-01 22:58:59
10,t1,2024-02-01 22:59:00
10,t6,2024-02-01 22:59:01
10,t7,2024-02-01 22:59:02
10,t8,2024-02-01 22:59:03
11,t13,2024-02-01 22:59:04
11,t14,2024-02-01 22:59:05
11,t4,2024-02-01 22:59:06
11,t11,2024-02-01 22:59:07
11,t15,2024-02-01 22:59:08
11,t5,2024-02-01 22:59:09
11,t1,2024-02-01 22:59:10
11,t6,2024-02-01 22:59:11
11,t7,2024-02-01 22:59:12
11,t8,2024-02-01 22:59:13
12,t13,2024-02-01 22:59:14
12,t14,2024-02-01 22:59:15
12,t4,2024-02-01 22:59:16
12,t11,2024-02-01 22:59:17
12,t15,2024-02-01 22:59:18
12,t5,2024-02-01 22:59:19
12,t1,2024-02-01 22:59:20
12,t6,2024-02-01 22:59:21
12,t7,2024-02-01 22:59:22
12,t3,2024-02-01 22:59:23
13,t13,2024-02-01 22:59:24
13,t14,2024-02-01 22:59:25
13,t4,2024-02-01 22:59:26
13,t11,2024-02-01 22:59:27
13,t15,2024-02-01 22:59:28
13,t5,2024-02-01 22:59:29
13,t1,2024-02-01 22:59:30
13,t6,2024-02-01 22:59:31
13,t7,2024-02-01 22:59:32
13,t8,2024-02-01 22:59:33
14,t9,2024-02-01 22:59:34
14,t10,2024-02-01 22:59:35
14,t4,2024-02-01 22:59:36
14,t11,2024-02-01 22:59:37
14,t12,2024-02-01 22:59:38
14,t5,2024-02-01 22:59:39
14,t1,2024-02-01 22:59:40
14,t6,2024-02-01 22:59:41
14,t7,2024-02-01 22:59:42
14,t3,2024-02-01 22:59:43
15,t13,2024-02-01 22:59:44
15,t4,2024-02-01 22:59:45
15,t14,2024-02-01 22:59:46
15,t11,2024-02-01 22:59:47
15,t15,2024-02-01 22:59:48
15,t5,2024-02-01 22:59:49
15,t1,2024-02-01 22:59:50
15,t6,2024-02-01 22:59:51
15,t7,2024-02-01 22:59:52
15,t8,2024-02-01 22:59:53
16,t9,2024-02-01 22:59:54
16,t10,2024-02-01 22:59:55
16,t4,2024-02-01 22:59:56
16,t11,2024-02-01 22:59:57
16,t12,2024-02-01 22:59:58
16,t5,2024-02-01 22:59:59
16,t1,2024-02-01 23:00:00
16,t6,2024-02-01 23:00:01
16,t7,2024-02-01 23:00:02
16,t3,2024-02-01 23:00:03
17,t13,2024-02-01 23:00:04
17,t14,2024-02-01 23:00:05
17,t4,2024-02-01 23:00:06
17,t11,2024-02-01 23:00:07
17,t15,2024-02-01 23:00:08
17,t5,2024-02-01 23:00:09
17,t1,2024-02-01 23:00:10
17,t6,2024-02-01 23:00:11
17,t7,2024-02-01 23:00:12
17,t3,2024-02-01 23:00:13
18,t9,2024-02-01 23:00:14
18,t10,2024-02-01 23:00:15
18,t4,2024-02-01 23:00:16
18,t11,2024-02-01 23:00:17
18,t12,2024-02-01 23:00:18
18,t5,2024-02-01 23:00:19
18,t1,2024-02-01 23:00:20
18,t6,2024-02-01 23:00:21
18,t7,2024-02-01 23:00:22
18,t8,2024-02-01 23:00:23
19,t9,2024-02-01 23:00:24
19,t10,2024-02-01 23:00:25
19,t4,2024-02-01 23:00:26
19,t11,2024-02-01 23:00:27
19,t12,2024-02-01 23:00:28
19,t5,2024-02-01 23:00:29
19,t1,2024-02-01 23:00:30
19,t6,2024-02-01 23:00:31
19,t7,2024-02-01 23:00:32
19,t8,2024-02-01 23:00:33
20,t13,2024-02-01 23:00:34
20,t14,2024-02-01 23:00:35
20,t4,2024-02-01 23:00:36
20,t11,2024-02-01 23:00:37
20,t15,2024-02-01 23:00:38
20,t5,2024-02-01 23:00:39
20,t1,2024-02-01 23:00:40
20,t6,2024-02-01 23:00:41
20,t7,2024-02-01 23:00:42
20,t8,2024-02-01 23:00:43
21,t13,2024-02-01 23:00:44
21,t14,2024-02-01 23:00:45
21,t4,2024-02-01 23:00:46
21,t11,2024-02-01 23:00:47
21,t15,2024-02-01 23:00:48
21,t5,2024-02-01 23:00:49
21,t1,2024-02-01 23:00:50
21,t6,2024-02-01 23:00:51
21,t7,2024-02-01 23:00:52
21,t3,2024-02-01 23:00:53
22,t13,2024-02-01 23:00:54
22,t14,2024-02-01 23:00:55
22,t4,2024-02-01 23:00:56
22,t11,2024-02-01 23:00:57
22,t15,2024-02-01 23:00:58
22,t5,2024-02-01 23:00:59
22,t1,2024-02-01 23:01:00
22,t6,2024-02-01 23:01:01
22,t7,2024-02-01 23:01:02
22,t8,2024-02-01 23:01:03
23,t9,2024-02-01 23:01:04
23,t10,2024-02-01 23:01:05
23,t4,2024-02-01 23:01:06
23,t11,2024-02-01 23:01:07
23,t12,2024-02-01 23:01:08
23,t5,2024-02-01 23:01:09
23,t1,2024-02-01 23:01:10
23,t6,2024-02-01 23:01:11
23,t7,2024-02-01 23:01:12
23,t8,2024-02-01 23:01:13
24,t13,2024-02-01 23:01:14
24,t14,2024-02-01 23:01:15
24,t4,2024-02-01 23:01:16
24,t11,2024-02-01 23:01:17
24,t15,2024-02-01 23:01:18
24,t5,2024-02-01 23:01:19
24,t1,2024-02-01 23:01:20
24,t6,2024-02-01 23:01:21
24,t7,2024-02-01 23:01:22
24,t8,2024-02-01 23:01:23
25,t13,2024-02-01 23:01:24
25,t4,2024-02-01 23:01:25
25,t14,2024-02-01 23:01:26
25,t11,2024-02-01 23:01:27
25,t15,2024-02-01 23:01:28
25,t5,2024-02-01 23:01:29
25,t1,2024-02-01 23:01:30
25,t6,2024-02-01 23:01:31
25,t7,2024-02-01 23:01:32
25,t3,2024-02-01 23:01:33
26,t13,2024-02-01 23:01:34
26,t14,2024-02-01 23:01:35
26,t4,2024-02-01 23:01:36
26,t11,2024-02-01 23:01:37
26,t15,2024-02-01 23:01:38
26,t5,2024-02-01 23:01:39
26,t1,2024-02-01 23:01:40
26,t6,2024-02-01 23:01:41
26,t7,2024-02-01 23:01:42
26,t8,2024-02-01 23:01:43
27,t9,2024-02-01 23:01:44
27,t10,2024-02-01 23:01:45
27,t4,2024-02-01 23:01:46
27,t11,2024-02-01 23:01:47
27,t12,2024-02-01 23:01:48
27,t5,2024-02-01 23:01:49
27,t1,2024-02-01 23:01:50
27,t6,2024-02-01 23:01:51
27,t7,2024-02-01 23:01:52
27,t3,2024-02-01 23:01:53
28,t13,2024-02-01 23:01:54
28,t14,2024-02-01 23:01:55
28,t4,2024-02-01 23:01:56
28,t11,2024-02-01 23:01:57
28,t15,2024-02-01 23:01:58
28,t5,2024-02-01 23:01:59
28,t1,2024-02-01 23:02:00
28,t6,2024-02-01 23:02:01
28,t7,2024-02-01 23:02:02
28,t8,2024-02-01 23:02:03
29,t9,2024-02-01 23:02:04
29,t10,2024-02-01 23:02:05
29,t4,2024-02-01 23:02:06
29,t11,2024-02-01 23:02:07
29,t12,2024-02-01 23:02:08
29,t5,2024-02-01 23:02:09
29,t1,2024-02-01 23:02:10
29,t6,2024-02-01 23:02:11
29,t7,2024-02-01 23:02:12
29,t3,2024-02-01 23:02:13
30,t13,2024-02-01 23:02:14
30,t4,2024-02-01 23:02:15
30,t14,2024-02-01 23:02:16
30,t11,2024-02-01 23:02:17
30,t15,2024-02-01 23:02:18
30,t5,2024-02-01 23:02:19
30,t1,2024-02-01 23:02:20
30,t6,2024-02-01 23:02:21
30,t7,2024-02-01 23:02:22
30,t3,2024-02-01 23:02:23
31,t9,2024-02-01 23:02:24
31,t10,2024-02-01 23:02:25
31,t4,2024-02-01 23:02:26
31,t11,2024-02-01 23:02:27
31,t12,2024-02-01 23:02:28
