case_id,activity,timestamp
1,a,2023-12-15 20:13:12
1,f,2023-12-15 20:13:13
1,c,2023-12-15 20:13:14
1,e,2023-12-15 20:13:15
1,g,2023-12-15 20:13:16
1,i,2023-12-15 20:13:17
2,j,2023-12-15 20:13:18
2,b,2023-12-15 20:13:19
2,d,2023-12-15 20:13:20
2,h,2023-12-15 20:13:21
2,k,2023-12-15 20:13:22
3,a,2023-12-15 20:13:23
3,f,2023-12-15 20:13:24
3,c,2023-12-15 20:13:25
3,e,2023-12-15 20:13:26
3,g,2023-12-15 20:13:27
3,i,2023-12-15 20:13:28
4,j,2023-12-15 20:13:29
4,b,2023-12-15 20:13:30
4,d,2023-12-15 20:13:31
4,h,2023-12-15 20:13:32
4,k,2023-12-15 20:13:33
5,a,2023-12-15 20:13:34
5,f,2023-12-15 20:13:35
5,c,2023-12-15 20:13:36
5,e,2023-12-15 20:13:37
5,g,2023-12-15 20:13:38
5,i,2023-12-15 20:13:39
6,j,2023-12-15 20:13:40
6,d,2023-12-15 20:13:41
6,h,2023-12-15 20:13:42
6,b,2023-12-15 20:13:43
6,k,2023-12-15 20:13:44
6,j,2023-12-15 20:13:45
6,b,2023-12-15 20:13:46
6,d,2023-12-15 20:13:47
6,h,2023-12-15 20:13:48
6,k,2023-12-15 20:13:49
7,a,2023-12-15 20:13:50
7,f,2023-12-15 20:13:51
7,c,2023-12-15 20:13:52
7,e,2023-12-15 20:13:53
7,g,2023-12-15 20:13:54
7,i,2023-12-15 20:13:55
8,j,2023-12-15 20:13:56
8,d,2023-12-15 20:13:57
8,h,2023-12-15 20:13:58
8,b,2023-12-15 20:13:59
8,k,2023-12-15 20:14:00
9,a,2023-12-15 20:14:01
9,f,2023-12-15 20:14:02
9,c,2023-12-15 20:14:03
9,e,2023-12-15 20:14:04
9,g,2023-12-15 20:14:05
9,i,2023-12-15 20:14:06
10,j,2023-12-15 20:14:07
10,b,2023-12-15 20:14:08
10,d,2023-12-15 20:14:09
10,h,2023-12-15 20:14:10
10,k,2023-12-15 20:14:11
11,a,2023-12-15 20:14:12
11,f,2023-12-15 20:14:13
11,c,2023-12-15 20:14:14
11,e,2023-12-15 20:14:15
11,g,2023-12-15 20:14:16
11,i,2023-12-15 20:14:17
12,j,2023-12-15 20:14:18
12,d,2023-12-15 20:14:19
12,h,2023-12-15 20:14:20
12,b,2023-12-15 20:14:21
12,k,2023-12-15 20:14:22
13,a,2023-12-15 20:14:23
13,f,2023-12-15 20:14:24
13,c,2023-12-15 20:14:25
13,e,2023-12-15 20:14:26
13,g,2023-12-15 20:14:27
13,i,2023-12-15 20:14:28
14,j,2023-12-15 20:14:29
14,d,2023-12-15 20:14:30
14,b,2023-12-15 20:14:31
14,h,2023-12-15 20:14:32
14,k,2023-12-15 20:14:33
15,a,2023-12-15 20:14:34
15,f,2023-12-15 20:14:35
15,c,2023-12-15 20:14:36
15,e,2023-12-15 20:14:37
15,g,2023-12-15 20:14:38
15,i,2023-12-15 20:14:39
16,j,2023-12-15 20:14:40
16,b,2023-12-15 20:14:41
16,d,2023-12-15 20:14:42
16,h,2023-12-15 20:14:43
16,k,2023-12-15 20:14:44
17,a,2023-12-15 20:14:45
17,f,2023-12-15 20:14:46
17,c,2023-12-15 20:14:47
17,e,2023-12-15 20:14:48
17,g,2023-12-15 20:14:49
17,i,2023-12-15 20:14:50
18,j,2023-12-15 20:14:51
18,b,2023-12-15 20:14:52
18,d,2023-12-15 20:14:53
18,h,2023-12-15 20:14:54
18,k,2023-12-15 20:14:55
19,a,2023-12-15 20:14:56
19,f,2023-12-15 20:14:57
19,c,2023-12-15 20:14:58
19,e,2023-12-15 20:14:59
19,g,2023-12-15 20:15:00
19,i,2023-12-15 20:15:01
20,j,2023-12-15 20:15:02
20,d,2023-12-15 20:15:03
20,b,2023-12-15 20:15:04
20,h,2023-12-15 20:15:05
20,k,2023-12-15 20:15:06
20,j,2023-12-15 20:15:07
20,b,2023-12-15 20:15:08
20,d,2023-12-15 20:15:09
20,h,2023-12-15 20:15:10
20,k,2023-12-15 20:15:11
21,a,2023-12-15 20:15:12
21,f,2023-12-15 20:15:13
21,c,2023-12-15 20:15:14
21,e,2023-12-15 20:15:15
21,g,2023-12-15 20:15:16
21,i,2023-12-15 20:15:17
22,j,2023-12-15 20:15:18
22,d,2023-12-15 20:15:19
22,b,2023-12-15 20:15:20
22,h,2023-12-15 20:15:21
22,k,2023-12-15 20:15:22
22,j,2023-12-15 20:15:23
22,d,2023-12-15 20:15:24
22,h,2023-12-15 20:15:25
22,b,2023-12-15 20:15:26
22,k,2023-12-15 20:15:27
23,a,2023-12-15 20:15:28
